k8s,metrics,medians,mins,maxs
k3s,create,190.04701,70.372,854.145
k3s,get,5.687,3.27,39.601
k3s,list,14.753,3.191,87.241
k3s,update,23.484,4.168,225.735
k3s,delete,80.047,13.153,185.263
