k8s,metrics,medians,mins,maxs
k3s,create,154.056,30.776,217.787
k3s,get,42.532,3.101,82.717
k3s,list,119.976,40.056,223.035
k3s,update,66.543,6.655,277.67398
k3s,delete,204.57101,25.729,404.19397
