k8s,metrics,medians,mins,maxs
k3s,create,560.698,43.652,2402.71
k3s,get,48.005,9.012,129.878
k3s,list,36.649,6.83,173.195
k3s,update,59.004,10.857,169.9
k3s,delete,1681.287,366.65,2761.429
