4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1648.66          ---          ---        11.04926         5.98300        86.52700       181.24700       127.01 
Gets        16484.92         3.42     16481.50        11.00513         5.95100        86.01500       181.24700       642.25 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      18133.59         3.42     16481.50        11.00914         5.95100        86.01500       181.24700       769.25 


Request Latency Distribution
Type     <= msec         Percent
GET      94.719       99.219
GET      96.767       99.258
GET      98.815       99.297
GET     101.375       99.336
GET     103.935       99.375
GET     106.495       99.414
GET     109.055       99.453
GET     112.127       99.492
GET     115.711       99.531
GET     118.783       99.570
GET     122.367       99.609
GET     124.415       99.629
GET     126.463       99.648
GET     128.511       99.668
GET     130.559       99.688
GET     134.143       99.707
GET     136.191       99.727
GET     139.263       99.746
GET     143.359       99.766
GET     146.431       99.785
GET     150.527       99.805
GET     152.575       99.814
GET     155.647       99.824
GET     157.695       99.834
GET     160.767       99.844
GET     163.839       99.854
GET     165.887       99.863
GET     169.983       99.873
GET     173.055       99.883
GET     177.151       99.893
GET     182.271       99.902
GET     184.319       99.907
GET     187.391       99.912
GET     190.463       99.917
GET     192.511       99.922
GET     195.583       99.927
GET     198.655       99.932
GET     202.751       99.937
GET     204.799       99.941
GET     207.871       99.946
GET     212.991       99.951
GET     215.039       99.954
GET     218.111       99.956
GET     220.159       99.958
GET     224.255       99.961
GET     229.375       99.963
GET     233.471       99.966
GET     238.591       99.968
GET     244.735       99.971
GET     247.807       99.973
GET     252.927       99.976
GET     255.999       99.977
GET     260.095       99.978
GET     264.191       99.979
GET     270.335       99.980
GET     276.479       99.982
GET     282.623       99.983
GET     284.671       99.984
GET     286.719       99.985
GET     290.815       99.987
GET     290.815       99.988
GET     292.863       99.988
GET     292.863       99.989
GET     296.959       99.990
GET     296.959       99.990
GET     299.007       99.991
GET     303.103       99.991
GET     305.151       99.992
GET     307.199       99.993
GET     313.343       99.993
GET     319.487       99.994
GET     321.535       99.994
GET     331.775       99.995
GET     335.871       99.995
GET     339.967       99.995
GET     346.111       99.995
GET     350.207       99.996
GET     354.303       99.996
GET     362.495       99.996
GET     387.071       99.997
GET     403.455       99.997
GET     405.503       99.997
GET     415.743       99.997
GET     415.743       99.997
GET     417.791       99.998
GET     419.839       99.998
GET     419.839       99.998
GET     419.839       99.998
GET     421.887       99.998
GET     421.887       99.998
GET     423.935       99.998
GET     423.935       99.999
GET     425.983       99.999
GET     425.983       99.999
GET     428.031       99.999
GET     436.223       99.999
GET     438.271       99.999
GET     440.319       99.999
GET     448.511       99.999
GET     448.511       99.999
GET     450.559       99.999
GET     450.559       99.999
GET     452.607       99.999
GET     452.607       99.999
GET     454.655       99.999
GET     456.703       99.999
GET     456.703       99.999
GET     456.703      100.000
GET     466.943      100.000
GET     466.943      100.000
GET     468.991      100.000
GET     468.991      100.000
GET     468.991      100.000
GET     468.991      100.000
GET     468.991      100.000
GET     468.991      100.000
GET     471.039      100.000
GET     471.039      100.000
GET     473.087      100.000
GET     473.087      100.000
GET     473.087      100.000
GET     473.087      100.000
GET     475.135      100.000
GET     475.135      100.000
GET     475.135      100.000
GET     475.135      100.000
GET     475.135      100.000
GET     483.327      100.000
GET     483.327      100.000
GET     485.375      100.000
GET     485.375      100.000
GET     487.423      100.000
GET     487.423      100.000
GET     487.423      100.000
GET     487.423      100.000
GET     487.423      100.000
GET     487.423      100.000
GET     487.423      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     514.047      100.000
GET     518.143      100.000
GET     518.143      100.000
---
WAIT      0.000      100.000
