"","value","metric"
"141",23.364493522517,"'Mem Controller k0s '"
"142",23.2027217766811,"'Mem Controller k0s '"
"143",23.229729796422,"'Mem Controller k0s '"
"144",23.4106057988896,"'Mem Controller k0s '"
"145",23.5375348550278,"'Mem Controller k0s '"
"146",23.4756940160395,"'Mem Controller k0s '"
"147",23.4950746452807,"'Mem Controller k0s '"
"148",23.5274201110426,"'Mem Controller k0s '"
"149",23.3197112893276,"'Mem Controller k0s '"
"150",23.3751239975324,"'Mem Controller k0s '"
"151",23.4158519432449,"'Mem Controller k0s '"
"152",23.3731499074645,"'Mem Controller k0s '"
"153",23.427666872301,"'Mem Controller k0s '"
"154",23.3672301048735,"'Mem Controller k0s '"
"155",23.4292190006169,"'Mem Controller k0s '"
"156",23.3918593460827,"'Mem Controller k0s '"
"157",23.3504676125848,"'Mem Controller k0s '"
"158",23.4597211597779,"'Mem Controller k0s '"
"159",23.2455545959284,"'Mem Controller k0s '"
"160",23.31716471314,"'Mem Controller k0s '"
"161",23.5453547193091,"'Mem Controller k0s '"
"162",23.3911462060457,"'Mem Controller k0s '"
"163",23.502822948797,"'Mem Controller k0s '"
"164",23.4930882171499,"'Mem Controller k0s '"
"165",23.4593312769895,"'Mem Controller k0s '"
"166",23.2737988895743,"'Mem Controller k0s '"
"167",23.449759407773,"'Mem Controller k0s '"
"168",23.3940283775447,"'Mem Controller k0s '"
"169",23.3471017890191,"'Mem Controller k0s '"
"170",23.4084170265268,"'Mem Controller k0s '"
"171",23.528059222702,"'Mem Controller k0s '"
"172",23.5024947563233,"'Mem Controller k0s '"
"173",23.3068994447872,"'Mem Controller k0s '"
"174",23.5077359654534,"'Mem Controller k0s '"
"175",23.5110178901912,"'Mem Controller k0s '"
"176",23.5553954349167,"'Mem Controller k0s '"
"177",23.5520764959901,"'Mem Controller k0s '"
"178",23.470763726095,"'Mem Controller k0s '"
"179",23.5846687230105,"'Mem Controller k0s '"
"180",23.7584454040716,"'Mem Controller k0s '"
"181",15.8409448488587,"'Mem Worker k0s '"
"182",15.8524347933374,"'Mem Worker k0s '"
"183",15.8582951264651,"'Mem Worker k0s '"
"184",15.8469793954349,"'Mem Worker k0s '"
"185",15.8397404071561,"'Mem Worker k0s '"
"186",15.8302356570019,"'Mem Worker k0s '"
"187",15.8306213448489,"'Mem Worker k0s '"
"188",15.8393739666872,"'Mem Worker k0s '"
"189",15.8521458359038,"'Mem Worker k0s '"
"190",15.8606958667489,"'Mem Worker k0s '"
"191",15.8698336829118,"'Mem Worker k0s '"
"192",15.8833278223319,"'Mem Worker k0s '"
"193",15.8996762492289,"'Mem Worker k0s '"
"194",15.8961964219618,"'Mem Worker k0s '"
"195",15.8871548426897,"'Mem Worker k0s '"
"196",15.8677608883405,"'Mem Worker k0s '"
"197",15.8664019740901,"'Mem Worker k0s '"
"198",15.8582085132634,"'Mem Worker k0s '"
"199",15.8574665021592,"'Mem Worker k0s '"
"200",15.8655148673658,"'Mem Worker k0s '"
"201",15.8539000616903,"'Mem Worker k0s '"
"202",15.8517507711289,"'Mem Worker k0s '"
"203",15.8542275138803,"'Mem Worker k0s '"
"204",15.8658813078347,"'Mem Worker k0s '"
"205",15.8712794571252,"'Mem Worker k0s '"
"206",15.8736797038865,"'Mem Worker k0s '"
"207",15.8779114127082,"'Mem Worker k0s '"
"208",15.8803405305367,"'Mem Worker k0s '"
"209",15.8803405305367,"'Mem Worker k0s '"
"210",15.8883888957434,"'Mem Worker k0s '"
"211",15.8937865515114,"'Mem Worker k0s '"
"212",15.8937865515114,"'Mem Worker k0s '"
"213",15.8937673041333,"'Mem Worker k0s '"
"214",15.8937288093769,"'Mem Worker k0s '"
"215",15.8936903146206,"'Mem Worker k0s '"
"216",15.895512152992,"'Mem Worker k0s '"
"217",15.8966689697717,"'Mem Worker k0s '"
"218",15.907156076496,"'Mem Worker k0s '"
"219",15.9271380629241,"'Mem Worker k0s '"
"220",15.9447003084516,"'Mem Worker k0s '"
"221",15.9611928439235,"'Mem Worker k0s '"
"222",15.9788710672424,"'Mem Worker k0s '"
"223",15.9866593460827,"'Mem Worker k0s '"
"224",15.9884523133868,"'Mem Worker k0s '"
"225",16.0013300431832,"'Mem Worker k0s '"
"226",16.0165986428131,"'Mem Worker k0s '"
"227",16.0343442319556,"'Mem Worker k0s '"
"228",16.0366477483035,"'Mem Worker k0s '"
"229",16.0219000616903,"'Mem Worker k0s '"
"230",16.0082800740284,"'Mem Worker k0s '"
"231",16.012733127699,"'Mem Worker k0s '"
"232",16.0265843306601,"'Mem Worker k0s '"
"233",16.0404747686613,"'Mem Worker k0s '"
"234",16.0484175200494,"'Mem Worker k0s '"
"235",16.0589144972239,"'Mem Worker k0s '"
"236",16.0667415175817,"'Mem Worker k0s '"
"237",16.0802748920419,"'Mem Worker k0s '"
"238",16.0832239358421,"'Mem Worker k0s '"
"239",16.0940392350401,"'Mem Worker k0s '"
"240",16.0941256014806,"'Mem Worker k0s '"
"241",2.6,"'Disk Controller k0s '"
"242",1.8,"'Disk Controller k0s '"
"243",2.4,"'Disk Controller k0s '"
"244",1.8,"'Disk Controller k0s '"
"245",2.8,"'Disk Controller k0s '"
"246",2,"'Disk Controller k0s '"
"247",2.6,"'Disk Controller k0s '"
"248",1.8,"'Disk Controller k0s '"
