k8s,metrics,medians,mins,maxs
k3s,create,141.315,19.682,321.44498
k3s,get,11.794,5.5,30.062
k3s,list,15.542,5.022,40.002
k3s,update,31.214,19.754,116.771
k3s,delete,463.06598,104.802,539.11096
