k8s,metrics,medians,mins,maxs
k3s,create,31.971,16.166,43.279
k3s,get,8.183,2.62,18.379
k3s,list,9.296,5.423,21.128
k3s,update,19.758,6.216,34.533
k3s,delete,123.656,7.075,313.963
