"","value","metric"
"141",23.4192819247378,"'Mem Controller k3s '"
"142",23.2079358420728,"'Mem Controller k3s '"
"143",23.2535842072795,"'Mem Controller k3s '"
"144",23.1930413325108,"'Mem Controller k3s '"
"145",23.2147982726712,"'Mem Controller k3s '"
"146",23.1041110425663,"'Mem Controller k3s '"
"147",23.2646391116595,"'Mem Controller k3s '"
"148",23.2355410240592,"'Mem Controller k3s '"
"149",23.0967452190006,"'Mem Controller k3s '"
"150",23.197033929673,"'Mem Controller k3s '"
"151",23.1997310302283,"'Mem Controller k3s '"
"152",23.2898852560148,"'Mem Controller k3s '"
"153",23.172451573103,"'Mem Controller k3s '"
"154",23.2712177668106,"'Mem Controller k3s '"
"155",23.407898827884,"'Mem Controller k3s '"
"156",23.3314892041949,"'Mem Controller k3s '"
"157",23.2497988895743,"'Mem Controller k3s '"
"158",23.2113584207279,"'Mem Controller k3s '"
"159",23.2268328192474,"'Mem Controller k3s '"
"160",23.2239531153609,"'Mem Controller k3s '"
"161",23.1429290561382,"'Mem Controller k3s '"
"162",23.2952547809994,"'Mem Controller k3s '"
"163",23.2113682911783,"'Mem Controller k3s '"
"164",23.1494534238125,"'Mem Controller k3s '"
"165",23.1699099321407,"'Mem Controller k3s '"
"166",23.2107859346083,"'Mem Controller k3s '"
"167",23.2881628624306,"'Mem Controller k3s '"
"168",23.1114102405922,"'Mem Controller k3s '"
"169",23.0937544725478,"'Mem Controller k3s '"
"170",23.3488587291795,"'Mem Controller k3s '"
"171",23.3265243676743,"'Mem Controller k3s '"
"172",23.3490832819247,"'Mem Controller k3s '"
"173",23.2961974090068,"'Mem Controller k3s '"
"174",23.5132856261567,"'Mem Controller k3s '"
"175",23.5117310302283,"'Mem Controller k3s '"
"176",23.5389710055521,"'Mem Controller k3s '"
"177",23.5102159161012,"'Mem Controller k3s '"
"178",23.5751388032079,"'Mem Controller k3s '"
"179",23.4761431215299,"'Mem Controller k3s '"
"180",23.6226008636644,"'Mem Controller k3s '"
"181",11.6139151141271,"'Mem Worker k3s '"
"182",11.6122282541641,"'Mem Worker k3s '"
"183",11.6097322640345,"'Mem Worker k3s '"
"184",11.6096636644047,"'Mem Worker k3s '"
"185",11.6161026526835,"'Mem Worker k3s '"
"186",11.6203247378162,"'Mem Worker k3s '"
"187",11.6283738433066,"'Mem Worker k3s '"
"188",11.6371457125231,"'Mem Worker k3s '"
"189",11.6449628624306,"'Mem Worker k3s '"
"190",11.6410391116595,"'Mem Worker k3s '"
"191",11.6436323257249,"'Mem Worker k3s '"
"192",11.6420323257249,"'Mem Worker k3s '"
"193",11.6420609500308,"'Mem Worker k3s '"
"194",11.6418102405922,"'Mem Worker k3s '"
"195",11.6472666255398,"'Mem Worker k3s '"
"196",11.6594020974707,"'Mem Worker k3s '"
"197",11.661686859963,"'Mem Worker k3s '"
"198",11.6646938926589,"'Mem Worker k3s '"
"199",11.7400039481801,"'Mem Worker k3s '"
"200",11.7916310919186,"'Mem Worker k3s '"
"201",11.7992653917335,"'Mem Worker k3s '"
"202",11.8019545959284,"'Mem Worker k3s '"
"203",11.8039501542258,"'Mem Worker k3s '"
"204",11.801896853794,"'Mem Worker k3s '"
"205",11.7982435533621,"'Mem Worker k3s '"
"206",11.7971067242443,"'Mem Worker k3s '"
"207",11.7873996298581,"'Mem Worker k3s '"
"208",11.7851348550278,"'Mem Worker k3s '"
"209",11.8033618753856,"'Mem Worker k3s '"
"210",11.8014341764343,"'Mem Worker k3s '"
"211",11.7938388648982,"'Mem Worker k3s '"
"212",11.7795437384331,"'Mem Worker k3s '"
"213",11.7782038247995,"'Mem Worker k3s '"
"214",11.7764014805676,"'Mem Worker k3s '"
"215",11.7799967921036,"'Mem Worker k3s '"
"216",11.7802470080197,"'Mem Worker k3s '"
"217",11.7823676742751,"'Mem Worker k3s '"
"218",11.7822906847625,"'Mem Worker k3s '"
"219",11.7821944478717,"'Mem Worker k3s '"
"220",11.7820982109809,"'Mem Worker k3s '"
"221",11.7836787168415,"'Mem Worker k3s '"
"222",11.7846233189389,"'Mem Worker k3s '"
"223",11.7845655768044,"'Mem Worker k3s '"
"224",11.7811346082665,"'Mem Worker k3s '"
"225",11.7810576187539,"'Mem Worker k3s '"
"226",11.7809902529303,"'Mem Worker k3s '"
"227",11.7809320172733,"'Mem Worker k3s '"
"228",11.7859247378162,"'Mem Worker k3s '"
"229",11.7889806292412,"'Mem Worker k3s '"
"230",11.7832357803825,"'Mem Worker k3s '"
"231",11.7870336829118,"'Mem Worker k3s '"
"232",11.7849033929673,"'Mem Worker k3s '"
"233",11.7828407156076,"'Mem Worker k3s '"
"234",11.780632942628,"'Mem Worker k3s '"
"235",11.7805752004935,"'Mem Worker k3s '"
"236",11.7804693399136,"'Mem Worker k3s '"
"237",11.780392350401,"'Mem Worker k3s '"
"238",11.7821371992597,"'Mem Worker k3s '"
"239",11.7832932757557,"'Mem Worker k3s '"
"240",11.784420974707,"'Mem Worker k3s '"
"241",0,"'Disk Controller k3s '"
"242",0.2,"'Disk Controller k3s '"
"243",0.2,"'Disk Controller k3s '"
"244",0.2,"'Disk Controller k3s '"
"245",0.2,"'Disk Controller k3s '"
"246",0.2,"'Disk Controller k3s '"
"247",0,"'Disk Controller k3s '"
"248",0.2,"'Disk Controller k3s '"
"249",0.4,"'Disk Controller k3s '"
"250",0.2,"'Disk Controller k3s '"
"251",0,"'Disk Controller k3s '"
"252",0.2,"'Disk Controller k3s '"
"253",0.2,"'Disk Controller k3s '"
"254",0.2,"'Disk Controller k3s '"
"255",0.4,"'Disk Controller k3s '"
"256",0.2,"'Disk Controller k3s '"
"257",0,"'Disk Controller k3s '"
"258",0.2,"'Disk Controller k3s '"
"259",0.2,"'Disk Controller k3s '"
"260",0,"'Disk Controller k3s '"
"261",0,"'Disk Controller k3s '"
"262",0.4,"'Disk Controller k3s '"
"263",0.2,"'Disk Controller k3s '"
"264",0,"'Disk Controller k3s '"
"265",0.2,"'Disk Controller k3s '"
"266",0.2,"'Disk Controller k3s '"
"267",0.2,"'Disk Controller k3s '"
"268",0.2,"'Disk Controller k3s '"
"269",0.2,"'Disk Controller k3s '"
"270",0.4,"'Disk Controller k3s '"
"271",0,"'Disk Controller k3s '"
"272",0,"'Disk Controller k3s '"
"273",0.2,"'Disk Controller k3s '"
"274",0.2,"'Disk Controller k3s '"
"275",0.4,"'Disk Controller k3s '"
"276",0.2,"'Disk Controller k3s '"
"277",0.2,"'Disk Controller k3s '"
"278",0.2,"'Disk Controller k3s '"
"279",0,"'Disk Controller k3s '"
"280",0.6,"'Disk Controller k3s '"
"281",0,"'Disk Controller k3s '"
"282",1,"'Disk Controller k3s '"
"283",0.4,"'Disk Controller k3s '"
"284",0.2,"'Disk Controller k3s '"
"285",0.2,"'Disk Controller k3s '"
"286",0.2,"'Disk Controller k3s '"
"287",0.4,"'Disk Controller k3s '"
"288",0.4,"'Disk Controller k3s '"
"289",0.2,"'Disk Controller k3s '"
"290",0.2,"'Disk Controller k3s '"
"291",0.2,"'Disk Controller k3s '"
"292",0,"'Disk Controller k3s '"
"293",0,"'Disk Controller k3s '"
"294",0.2,"'Disk Controller k3s '"
"295",0.2,"'Disk Controller k3s '"
"296",0,"'Disk Controller k3s '"
"297",0.2,"'Disk Controller k3s '"
"298",0.2,"'Disk Controller k3s '"
"299",0,"'Disk Controller k3s '"
"300",0.2,"'Disk Controller k3s '"
"301",0.2,"'Disk Worker k3s '"
"302",0.2,"'Disk Worker k3s '"
"303",0,"'Disk Worker k3s '"
"304",0.4,"'Disk Worker k3s '"
"305",0.2,"'Disk Worker k3s '"
"306",0.4,"'Disk Worker k3s '"
"307",0.2,"'Disk Worker k3s '"
"308",0.2,"'Disk Worker k3s '"
"309",0.2,"'Disk Worker k3s '"
"310",0,"'Disk Worker k3s '"
"311",0.2,"'Disk Worker k3s '"
"312",0.2,"'Disk Worker k3s '"
"313",0.2,"'Disk Worker k3s '"
"314",0.2,"'Disk Worker k3s '"
"315",0.2,"'Disk Worker k3s '"
"316",0,"'Disk Worker k3s '"
"317",0.2,"'Disk Worker k3s '"
"318",0.2,"'Disk Worker k3s '"
"319",0.2,"'Disk Worker k3s '"
"320",0.2,"'Disk Worker k3s '"
"321",0,"'Disk Worker k3s '"
"322",0.4,"'Disk Worker k3s '"
"323",0.2,"'Disk Worker k3s '"
"324",0,"'Disk Worker k3s '"
"325",0.2,"'Disk Worker k3s '"
"326",0,"'Disk Worker k3s '"
"327",0,"'Disk Worker k3s '"
"328",0.2,"'Disk Worker k3s '"
"329",0.2,"'Disk Worker k3s '"
"330",0.4,"'Disk Worker k3s '"
"331",0,"'Disk Worker k3s '"
"332",0,"'Disk Worker k3s '"
"333",0.2,"'Disk Worker k3s '"
"334",0.2,"'Disk Worker k3s '"
"335",0.2,"'Disk Worker k3s '"
"336",0.2,"'Disk Worker k3s '"
"337",0,"'Disk Worker k3s '"
"338",0,"'Disk Worker k3s '"
"339",0.2,"'Disk Worker k3s '"
"340",0.2,"'Disk Worker k3s '"
"341",0.2,"'Disk Worker k3s '"
"342",0.2,"'Disk Worker k3s '"
"343",0.2,"'Disk Worker k3s '"
"344",0,"'Disk Worker k3s '"
"345",0.2,"'Disk Worker k3s '"
"346",0.2,"'Disk Worker k3s '"
"347",0.2,"'Disk Worker k3s '"
"348",0.2,"'Disk Worker k3s '"
"349",0.4,"'Disk Worker k3s '"
"350",0,"'Disk Worker k3s '"
"351",0.2,"'Disk Worker k3s '"
"352",0.4,"'Disk Worker k3s '"
"353",0.2,"'Disk Worker k3s '"
"354",0.2,"'Disk Worker k3s '"
"355",0.2,"'Disk Worker k3s '"
"356",0,"'Disk Worker k3s '"
"357",0.2,"'Disk Worker k3s '"
"358",0.2,"'Disk Worker k3s '"
"359",0.2,"'Disk Worker k3s '"
"360",0.2,"'Disk Worker k3s '"
