k8s,metrics,medians,mins,maxs
k0s,create,63.478,20.951,72.623
k0s,get,4.203,2.525,6.767
k0s,list,6.332,3.011,8.185
k0s,update,25.07,13.921,37.305
k0s,delete,24.998,8.023,91.173
