k8s,metrics,medians,mins,maxs
MicroShift,create,102.179,33.367,220.223
MicroShift,get,3.433,1.469,10.892
MicroShift,list,3.73,1.719,7.901
MicroShift,update,4.137,1.92,23.257
MicroShift,delete,12.669,3.4,48.779
