k8s,metrics,medians,mins,maxs
k0s,create,64.664,37.732,90.886
k0s,get,6.272,1.58,11.7
k0s,list,8.927,1.764,15.159
k0s,update,44.56,8.91,103.912
k0s,delete,34.34,9.497,160.133
