k8s,metrics,medians,mins,maxs
k0s,create,287.464,31.605,526.883
k0s,get,2.458,1.713,4.546
k0s,list,2.639,1.863,5.345
k0s,update,9.952,4.339,23.454
k0s,delete,300.05298,66.938,435.20898
