"","value","metric"
"126",27.1650314620605,"'Mem Controller MicroK8s '"
"127",27.1166909315238,"'Mem Controller MicroK8s '"
"128",27.1628698334361,"'Mem Controller MicroK8s '"
"129",27.2196767427514,"'Mem Controller MicroK8s '"
"130",27.2314546576188,"'Mem Controller MicroK8s '"
"131",27.2027094386181,"'Mem Controller MicroK8s '"
"132",27.2335323874152,"'Mem Controller MicroK8s '"
"133",27.2382208513263,"'Mem Controller MicroK8s '"
"134",27.2415003084516,"'Mem Controller MicroK8s '"
"135",27.239708821715,"'Mem Controller MicroK8s '"
"136",27.2211992597162,"'Mem Controller MicroK8s '"
"137",27.1143096853794,"'Mem Controller MicroK8s '"
"138",27.1471141270821,"'Mem Controller MicroK8s '"
"139",27.1731449722394,"'Mem Controller MicroK8s '"
"140",27.1991388032079,"'Mem Controller MicroK8s '"
"141",27.1675212831585,"'Mem Controller MicroK8s '"
"142",27.1883676742751,"'Mem Controller MicroK8s '"
"143",27.1691474398519,"'Mem Controller MicroK8s '"
"144",27.1546896977175,"'Mem Controller MicroK8s '"
"145",27.1778630475015,"'Mem Controller MicroK8s '"
"146",27.1537618753856,"'Mem Controller MicroK8s '"
"147",27.1533769278223,"'Mem Controller MicroK8s '"
"148",27.2134188772363,"'Mem Controller MicroK8s '"
"149",27.1913559531154,"'Mem Controller MicroK8s '"
"150",27.216261566934,"'Mem Controller MicroK8s '"
"151",27.1772239358421,"'Mem Controller MicroK8s '"
"152",27.207578038248,"'Mem Controller MicroK8s '"
"153",27.2121480567551,"'Mem Controller MicroK8s '"
"154",27.2422677359655,"'Mem Controller MicroK8s '"
"155",27.2312399753239,"'Mem Controller MicroK8s '"
"156",27.2624157927205,"'Mem Controller MicroK8s '"
"157",27.1943812461444,"'Mem Controller MicroK8s '"
"158",27.1483824799507,"'Mem Controller MicroK8s '"
"159",27.1561727328809,"'Mem Controller MicroK8s '"
"160",27.1158716841456,"'Mem Controller MicroK8s '"
"161",27.1524417026527,"'Mem Controller MicroK8s '"
"162",27.116653917335,"'Mem Controller MicroK8s '"
"163",27.0732584824183,"'Mem Controller MicroK8s '"
"164",27.08458235657,"'Mem Controller MicroK8s '"
"165",27.1583911165947,"'Mem Controller MicroK8s '"
"166",27.1715385564466,"'Mem Controller MicroK8s '"
"167",27.1677902529303,"'Mem Controller MicroK8s '"
"168",27.2137001850709,"'Mem Controller MicroK8s '"
"169",27.1453177051203,"'Mem Controller MicroK8s '"
"170",27.1347735965453,"'Mem Controller MicroK8s '"
"171",27.1268797038865,"'Mem Controller MicroK8s '"
"172",27.0903491671808,"'Mem Controller MicroK8s '"
"173",27.1601258482418,"'Mem Controller MicroK8s '"
"174",27.1005724861197,"'Mem Controller MicroK8s '"
"175",27.0825983960518,"'Mem Controller MicroK8s '"
"176",27.0971227637261,"'Mem Controller MicroK8s '"
"177",27.1103763109192,"'Mem Controller MicroK8s '"
"178",27.112392350401,"'Mem Controller MicroK8s '"
"179",27.0496434299815,"'Mem Controller MicroK8s '"
"180",27.1068574953732,"'Mem Controller MicroK8s '"
"181",11.8821714990746,"'Mem Worker MicroK8s '"
"182",11.8430657618754,"'Mem Worker MicroK8s '"
"183",11.9466573719926,"'Mem Worker MicroK8s '"
"184",11.9586576187539,"'Mem Worker MicroK8s '"
"185",11.9538961135102,"'Mem Worker MicroK8s '"
"186",11.8999945712523,"'Mem Worker MicroK8s '"
"187",11.8454852560148,"'Mem Worker MicroK8s '"
"188",11.8484347933374,"'Mem Worker MicroK8s '"
"189",11.7791099321407,"'Mem Worker MicroK8s '"
"190",11.796094509562,"'Mem Worker MicroK8s '"
"191",11.784990006169,"'Mem Worker MicroK8s '"
"192",11.694305490438,"'Mem Worker MicroK8s '"
"193",11.7877658235657,"'Mem Worker MicroK8s '"
"194",11.7798526835287,"'Mem Worker MicroK8s '"
"195",11.9200148056755,"'Mem Worker MicroK8s '"
"196",11.9732222085133,"'Mem Worker MicroK8s '"
"197",12.1956256631709,"'Mem Worker MicroK8s '"
"198",12.3005860579889,"'Mem Worker MicroK8s '"
"199",12.2508866132017,"'Mem Worker MicroK8s '"
"200",12.1909026526835,"'Mem Worker MicroK8s '"
"201",12.2422112276373,"'Mem Worker MicroK8s '"
"202",12.2779533621221,"'Mem Worker MicroK8s '"
"203",12.3322025909932,"'Mem Worker MicroK8s '"
"204",12.3322403454658,"'Mem Worker MicroK8s '"
"205",12.2941761875386,"'Mem Worker MicroK8s '"
"206",12.2648634176434,"'Mem Worker MicroK8s '"
"207",12.3100518198643,"'Mem Worker MicroK8s '"
"208",12.2809223935842,"'Mem Worker MicroK8s '"
"209",12.2646324491055,"'Mem Worker MicroK8s '"
"210",12.2562366440469,"'Mem Worker MicroK8s '"
"211",12.3731881554596,"'Mem Worker MicroK8s '"
"212",12.4034640345466,"'Mem Worker MicroK8s '"
"213",12.288151758174,"'Mem Worker MicroK8s '"
"214",12.2015921036397,"'Mem Worker MicroK8s '"
"215",12.3507479333745,"'Mem Worker MicroK8s '"
"216",12.412929796422,"'Mem Worker MicroK8s '"
"217",12.3319230104874,"'Mem Worker MicroK8s '"
"218",12.3107074645281,"'Mem Worker MicroK8s '"
"219",12.296537446021,"'Mem Worker MicroK8s '"
"220",12.3361547193091,"'Mem Worker MicroK8s '"
"221",12.2955738433066,"'Mem Worker MicroK8s '"
"222",12.367703146206,"'Mem Worker MicroK8s '"
"223",12.3177529919803,"'Mem Worker MicroK8s '"
"224",12.3211363355953,"'Mem Worker MicroK8s '"
"225",12.3584979642196,"'Mem Worker MicroK8s '"
"226",12.363693522517,"'Mem Worker MicroK8s '"
"227",12.4084382479951,"'Mem Worker MicroK8s '"
"228",12.4032718075262,"'Mem Worker MicroK8s '"
"229",12.4000520666255,"'Mem Worker MicroK8s '"
"230",12.3495624922887,"'Mem Worker MicroK8s '"
"231",12.3791543491672,"'Mem Worker MicroK8s '"
"232",12.4382420727946,"'Mem Worker MicroK8s '"
"233",12.409642936459,"'Mem Worker MicroK8s '"
"234",12.4649522516965,"'Mem Worker MicroK8s '"
"235",12.4822349167181,"'Mem Worker MicroK8s '"
"236",12.444334114744,"'Mem Worker MicroK8s '"
"237",12.3757135101789,"'Mem Worker MicroK8s '"
"238",12.2918531770512,"'Mem Worker MicroK8s '"
"239",12.2473685379395,"'Mem Worker MicroK8s '"
"240",12.2020256631709,"'Mem Worker MicroK8s '"
"241",2,"'Disk Controller MicroK8s '"
"242",2.6,"'Disk Controller MicroK8s '"
"243",2.4,"'Disk Controller MicroK8s '"
"244",2.4,"'Disk Controller MicroK8s '"
"245",2,"'Disk Controller MicroK8s '"
"246",1.8,"'Disk Controller MicroK8s '"
"247",1.8,"'Disk Controller MicroK8s '"
"248",3.2,"'Disk Controller MicroK8s '"
"249",2.6,"'Disk Controller MicroK8s '"
"250",2.4,"'Disk Controller MicroK8s '"
"251",3.4,"'Disk Controller MicroK8s '"
"252",1.8,"'Disk Controller MicroK8s '"
"253",2,"'Disk Controller MicroK8s '"
"254",2.6,"'Disk Controller MicroK8s '"
"255",2,"'Disk Controller MicroK8s '"
"256",2.6,"'Disk Controller MicroK8s '"
"257",1.2,"'Disk Controller MicroK8s '"
"258",5,"'Disk Controller MicroK8s '"
"259",2.6,"'Disk Controller MicroK8s '"
"260",2.4,"'Disk Controller MicroK8s '"
"261",1,"'Disk Controller MicroK8s '"
"262",3,"'Disk Controller MicroK8s '"
"263",2,"'Disk Controller MicroK8s '"
"264",2.4,"'Disk Controller MicroK8s '"
"265",1.8,"'Disk Controller MicroK8s '"
"266",3.8,"'Disk Controller MicroK8s '"
"267",1.8,"'Disk Controller MicroK8s '"
"268",3.6,"'Disk Controller MicroK8s '"
"269",2,"'Disk Controller MicroK8s '"
"270",2.4,"'Disk Controller MicroK8s '"
"271",1.2,"'Disk Controller MicroK8s '"
"272",2.8,"'Disk Controller MicroK8s '"
"273",2.6,"'Disk Controller MicroK8s '"
"274",2,"'Disk Controller MicroK8s '"
"275",2.4,"'Disk Controller MicroK8s '"
"276",2.2,"'Disk Controller MicroK8s '"
"277",51,"'Disk Controller MicroK8s '"
"278",83.2,"'Disk Controller MicroK8s '"
"279",4,"'Disk Controller MicroK8s '"
"280",2.6,"'Disk Controller MicroK8s '"
"281",1.6,"'Disk Controller MicroK8s '"
"282",2.4,"'Disk Controller MicroK8s '"
"283",2.6,"'Disk Controller MicroK8s '"
"284",2.4,"'Disk Controller MicroK8s '"
"285",4.4,"'Disk Controller MicroK8s '"
"286",1.6,"'Disk Controller MicroK8s '"
"287",2.2,"'Disk Controller MicroK8s '"
"288",1.4,"'Disk Controller MicroK8s '"
"289",3.4,"'Disk Controller MicroK8s '"
"290",2.6,"'Disk Controller MicroK8s '"
"291",2.2,"'Disk Controller MicroK8s '"
"292",2,"'Disk Controller MicroK8s '"
"293",1.6,"'Disk Controller MicroK8s '"
"294",2.2,"'Disk Controller MicroK8s '"
"295",2.2,"'Disk Controller MicroK8s '"
"296",2.2,"'Disk Controller MicroK8s '"
"297",2.6,"'Disk Controller MicroK8s '"
"298",2,"'Disk Controller MicroK8s '"
"299",2.6,"'Disk Controller MicroK8s '"
"300",2,"'Disk Controller MicroK8s '"
"301",6.6,"'Disk Worker MicroK8s '"
"302",2.2,"'Disk Worker MicroK8s '"
"303",9.6,"'Disk Worker MicroK8s '"
"304",1.2,"'Disk Worker MicroK8s '"
"305",0.4,"'Disk Worker MicroK8s '"
"306",0.2,"'Disk Worker MicroK8s '"
"307",0.6,"'Disk Worker MicroK8s '"
"308",0.2,"'Disk Worker MicroK8s '"
"309",0.8,"'Disk Worker MicroK8s '"
"310",0.2,"'Disk Worker MicroK8s '"
"311",0.4,"'Disk Worker MicroK8s '"
"312",0.4,"'Disk Worker MicroK8s '"
"313",0.8,"'Disk Worker MicroK8s '"
"314",0.4,"'Disk Worker MicroK8s '"
"315",0.8,"'Disk Worker MicroK8s '"
"316",1.2,"'Disk Worker MicroK8s '"
"317",0.4,"'Disk Worker MicroK8s '"
"318",0.4,"'Disk Worker MicroK8s '"
"319",0.6,"'Disk Worker MicroK8s '"
"320",0.2,"'Disk Worker MicroK8s '"
"321",0.2,"'Disk Worker MicroK8s '"
"322",2.2,"'Disk Worker MicroK8s '"
"323",1,"'Disk Worker MicroK8s '"
"324",0.4,"'Disk Worker MicroK8s '"
"325",0.6,"'Disk Worker MicroK8s '"
"326",0.2,"'Disk Worker MicroK8s '"
"327",0.2,"'Disk Worker MicroK8s '"
"328",0.4,"'Disk Worker MicroK8s '"
"329",0.8,"'Disk Worker MicroK8s '"
"330",0.4,"'Disk Worker MicroK8s '"
"331",0.6,"'Disk Worker MicroK8s '"
"332",0.2,"'Disk Worker MicroK8s '"
"333",0.4,"'Disk Worker MicroK8s '"
"334",0.2,"'Disk Worker MicroK8s '"
"335",0.4,"'Disk Worker MicroK8s '"
"336",0.2,"'Disk Worker MicroK8s '"
"337",0.6,"'Disk Worker MicroK8s '"
"338",0.2,"'Disk Worker MicroK8s '"
"339",0.6,"'Disk Worker MicroK8s '"
"340",0.2,"'Disk Worker MicroK8s '"
"341",0.4,"'Disk Worker MicroK8s '"
"342",0.2,"'Disk Worker MicroK8s '"
"343",0.6,"'Disk Worker MicroK8s '"
"344",0.2,"'Disk Worker MicroK8s '"
"345",0.6,"'Disk Worker MicroK8s '"
"346",0.2,"'Disk Worker MicroK8s '"
"347",0.6,"'Disk Worker MicroK8s '"
"348",0.4,"'Disk Worker MicroK8s '"
"349",0.4,"'Disk Worker MicroK8s '"
"350",0.4,"'Disk Worker MicroK8s '"
"351",0.8,"'Disk Worker MicroK8s '"
"352",0.2,"'Disk Worker MicroK8s '"
"353",0.2,"'Disk Worker MicroK8s '"
"354",0.2,"'Disk Worker MicroK8s '"
"355",0.6,"'Disk Worker MicroK8s '"
"356",0.2,"'Disk Worker MicroK8s '"
"357",1,"'Disk Worker MicroK8s '"
"358",0.4,"'Disk Worker MicroK8s '"
"359",0.6,"'Disk Worker MicroK8s '"
"360",0.2,"'Disk Worker MicroK8s '"
