"","value","metric"
"1",22.877264,"'CPU Controller k3s '"
"2",20.932258,"'CPU Controller k3s '"
"3",24.194358,"'CPU Controller k3s '"
"4",23.107906,"'CPU Controller k3s '"
"5",21.664914,"'CPU Controller k3s '"
"6",22.849144,"'CPU Controller k3s '"
"7",26.411624,"'CPU Controller k3s '"
"8",23.454968,"'CPU Controller k3s '"
"9",21.385724,"'CPU Controller k3s '"
"10",22.810966,"'CPU Controller k3s '"
"11",22.03019,"'CPU Controller k3s '"
"12",21.787286,"'CPU Controller k3s '"
"13",23.021714,"'CPU Controller k3s '"
"14",22.167422,"'CPU Controller k3s '"
"15",23.929414,"'CPU Controller k3s '"
"16",23.47008,"'CPU Controller k3s '"
"17",25.502002,"'CPU Controller k3s '"
"18",23.868172,"'CPU Controller k3s '"
"19",22.13378,"'CPU Controller k3s '"
"20",21.784166,"'CPU Controller k3s '"
"21",23.68552,"'CPU Controller k3s '"
"22",23.45776,"'CPU Controller k3s '"
"23",21.710766,"'CPU Controller k3s '"
"24",22.631408,"'CPU Controller k3s '"
"25",20.674384,"'CPU Controller k3s '"
"26",23.756464,"'CPU Controller k3s '"
"27",26.5063,"'CPU Controller k3s '"
"28",22.742428,"'CPU Controller k3s '"
"29",22.13637,"'CPU Controller k3s '"
"30",22.9836,"'CPU Controller k3s '"
"31",21.677884,"'CPU Controller k3s '"
"32",22.695018,"'CPU Controller k3s '"
"33",20.92583,"'CPU Controller k3s '"
"34",23.027332,"'CPU Controller k3s '"
"35",20.916748,"'CPU Controller k3s '"
"36",23.695912,"'CPU Controller k3s '"
"37",22.596336,"'CPU Controller k3s '"
"38",21.313162,"'CPU Controller k3s '"
"39",26.691498,"'CPU Controller k3s '"
"40",23.243498,"'CPU Controller k3s '"
"41",21.89951,"'CPU Controller k3s '"
"42",22.362766,"'CPU Controller k3s '"
"43",23.131558,"'CPU Controller k3s '"
"44",21.486934,"'CPU Controller k3s '"
"45",22.60397,"'CPU Controller k3s '"
"46",25.007348,"'CPU Controller k3s '"
"47",20.705478,"'CPU Controller k3s '"
"48",22.637442,"'CPU Controller k3s '"
"49",20.667428,"'CPU Controller k3s '"
"50",23.264312,"'CPU Controller k3s '"
"51",23.779066,"'CPU Controller k3s '"
"52",24.336894,"'CPU Controller k3s '"
"53",20.937678,"'CPU Controller k3s '"
"54",23.264506,"'CPU Controller k3s '"
"55",26.64004,"'CPU Controller k3s '"
"56",24.902724,"'CPU Controller k3s '"
"57",21.255784,"'CPU Controller k3s '"
"58",22.660742,"'CPU Controller k3s '"
"59",23.00962,"'CPU Controller k3s '"
"60",20.4513,"'CPU Controller k3s '"
"61",3.113084,"'CPU Worker k3s '"
"62",3.517588,"'CPU Worker k3s '"
"63",3.72471,"'CPU Worker k3s '"
"64",3.619648,"'CPU Worker k3s '"
"65",2.91218000000001,"'CPU Worker k3s '"
"66",3.109064,"'CPU Worker k3s '"
"67",3.109616,"'CPU Worker k3s '"
"68",2.81668000000001,"'CPU Worker k3s '"
"69",3.312624,"'CPU Worker k3s '"
"70",4.428882,"'CPU Worker k3s '"
"71",5.557332,"'CPU Worker k3s '"
"72",3.41260800000001,"'CPU Worker k3s '"
"73",3.109212,"'CPU Worker k3s '"
"74",3.122176,"'CPU Worker k3s '"
"75",3.503574,"'CPU Worker k3s '"
"76",3.01361199999999,"'CPU Worker k3s '"
"77",2.814172,"'CPU Worker k3s '"
"78",3.305584,"'CPU Worker k3s '"
"79",3.018816,"'CPU Worker k3s '"
"80",3.11568200000001,"'CPU Worker k3s '"
"81",3.51763800000001,"'CPU Worker k3s '"
"82",3.9117,"'CPU Worker k3s '"
"83",3.312172,"'CPU Worker k3s '"
"84",3.010176,"'CPU Worker k3s '"
"85",3.020186,"'CPU Worker k3s '"
"86",3.21862,"'CPU Worker k3s '"
"87",3.12991599999999,"'CPU Worker k3s '"
"88",3.10954599999999,"'CPU Worker k3s '"
"89",3.11113,"'CPU Worker k3s '"
"90",2.81717,"'CPU Worker k3s '"
"91",3.00959400000001,"'CPU Worker k3s '"
"92",3.006106,"'CPU Worker k3s '"
"93",3.63387,"'CPU Worker k3s '"
"94",3.909592,"'CPU Worker k3s '"
"95",3.21210600000001,"'CPU Worker k3s '"
"96",2.91516,"'CPU Worker k3s '"
"97",3.81014399999999,"'CPU Worker k3s '"
"98",3.40416399999999,"'CPU Worker k3s '"
"99",3.41818000000001,"'CPU Worker k3s '"
"100",3.106582,"'CPU Worker k3s '"
"101",3.11716,"'CPU Worker k3s '"
"102",2.91914,"'CPU Worker k3s '"
"103",3.416132,"'CPU Worker k3s '"
"104",3.01409,"'CPU Worker k3s '"
"105",3.22229400000001,"'CPU Worker k3s '"
"106",4.029394,"'CPU Worker k3s '"
"107",3.11264,"'CPU Worker k3s '"
"108",3.403606,"'CPU Worker k3s '"
"109",3.20859799999999,"'CPU Worker k3s '"
"110",3.30861400000001,"'CPU Worker k3s '"
"111",3.11818,"'CPU Worker k3s '"
"112",3.21008,"'CPU Worker k3s '"
"113",3.208558,"'CPU Worker k3s '"
"114",3.01667999999999,"'CPU Worker k3s '"
"115",3.21013600000001,"'CPU Worker k3s '"
"116",2.81465,"'CPU Worker k3s '"
"117",3.128342,"'CPU Worker k3s '"
"118",4.305656,"'CPU Worker k3s '"
"119",3.223332,"'CPU Worker k3s '"
"120",2.711628,"'CPU Worker k3s '"
"121",23.5545367057372,"'Mem Controller k3s '"
"122",23.4965379395435,"'Mem Controller k3s '"
"123",23.5683726095003,"'Mem Controller k3s '"
"124",23.6287698951265,"'Mem Controller k3s '"
"125",23.6187168414559,"'Mem Controller k3s '"
"126",23.5854213448489,"'Mem Controller k3s '"
"127",23.6249426280074,"'Mem Controller k3s '"
"128",23.5411301665638,"'Mem Controller k3s '"
"129",23.6120370141888,"'Mem Controller k3s '"
"130",23.6837433682912,"'Mem Controller k3s '"
"131",23.7316940160395,"'Mem Controller k3s '"
"132",23.6353238741518,"'Mem Controller k3s '"
"133",23.7129845774213,"'Mem Controller k3s '"
"134",23.6687649599013,"'Mem Controller k3s '"
"135",23.7693645897594,"'Mem Controller k3s '"
"136",23.6825144972239,"'Mem Controller k3s '"
"137",23.6496779765577,"'Mem Controller k3s '"
"138",23.6787686613202,"'Mem Controller k3s '"
"139",23.6851967921036,"'Mem Controller k3s '"
"140",23.8034127082048,"'Mem Controller k3s '"
"141",23.7304231955583,"'Mem Controller k3s '"
"142",23.6460234423196,"'Mem Controller k3s '"
"143",23.6907834669957,"'Mem Controller k3s '"
"144",23.7698951264651,"'Mem Controller k3s '"
"145",23.7066403454658,"'Mem Controller k3s '"
"146",23.7510400987045,"'Mem Controller k3s '"
"147",23.8899321406539,"'Mem Controller k3s '"
"148",23.880029611351,"'Mem Controller k3s '"
"149",23.8512967304133,"'Mem Controller k3s '"
"150",23.7964417026527,"'Mem Controller k3s '"
"151",23.8571573103023,"'Mem Controller k3s '"
"152",23.8708673658236,"'Mem Controller k3s '"
"153",23.897075879087,"'Mem Controller k3s '"
"154",23.743578038248,"'Mem Controller k3s '"
"155",23.8643380629241,"'Mem Controller k3s '"
"156",23.9157063541024,"'Mem Controller k3s '"
"157",23.7716421961752,"'Mem Controller k3s '"
"158",23.8369623689081,"'Mem Controller k3s '"
"159",23.844,"'Mem Controller k3s '"
"160",23.91083528686,"'Mem Controller k3s '"
"161",23.9451523750771,"'Mem Controller k3s '"
"162",23.9030277606416,"'Mem Controller k3s '"
"163",23.8914916718075,"'Mem Controller k3s '"
"164",24.061759407773,"'Mem Controller k3s '"
"165",24.0599358420728,"'Mem Controller k3s '"
"166",23.879388032079,"'Mem Controller k3s '"
"167",24.073497840839,"'Mem Controller k3s '"
"168",24.0874941394201,"'Mem Controller k3s '"
"169",24.0449179518816,"'Mem Controller k3s '"
"170",24.0938285009254,"'Mem Controller k3s '"
"171",24.0726391116595,"'Mem Controller k3s '"
"172",24.0962739049969,"'Mem Controller k3s '"
"173",24.1901887723627,"'Mem Controller k3s '"
"174",24.2656730413325,"'Mem Controller k3s '"
"175",24.2259025293029,"'Mem Controller k3s '"
"176",24.1955015422579,"'Mem Controller k3s '"
"177",24.2042714373843,"'Mem Controller k3s '"
"178",24.3017520049352,"'Mem Controller k3s '"
"179",24.2475607649599,"'Mem Controller k3s '"
"180",24.2267291795188,"'Mem Controller k3s '"
"181",13.1856685996299,"'Mem Worker k3s '"
"182",13.1922423195558,"'Mem Worker k3s '"
"183",13.1910087600247,"'Mem Worker k3s '"
"184",13.1841362122147,"'Mem Worker k3s '"
"185",13.1761932140654,"'Mem Worker k3s '"
"186",13.1874904380012,"'Mem Worker k3s '"
"187",13.2027876619371,"'Mem Worker k3s '"
"188",13.2021130166564,"'Mem Worker k3s '"
"189",13.1921463294263,"'Mem Worker k3s '"
"190",13.1908061690315,"'Mem Worker k3s '"
"191",13.3019355953115,"'Mem Worker k3s '"
"192",13.5089352251696,"'Mem Worker k3s '"
"193",13.5153453423812,"'Mem Worker k3s '"
"194",13.5291395434917,"'Mem Worker k3s '"
"195",13.5291005552128,"'Mem Worker k3s '"
"196",13.5290709438618,"'Mem Worker k3s '"
"197",13.5290709438618,"'Mem Worker k3s '"
"198",13.5290420727946,"'Mem Worker k3s '"
"199",13.540175694016,"'Mem Worker k3s '"
"200",13.5614497223936,"'Mem Worker k3s '"
"201",13.5768239358421,"'Mem Worker k3s '"
"202",13.5928342998149,"'Mem Worker k3s '"
"203",13.6062906847625,"'Mem Worker k3s '"
"204",13.622233929673,"'Mem Worker k3s '"
"205",13.6305907464528,"'Mem Worker k3s '"
"206",13.6336271437384,"'Mem Worker k3s '"
"207",13.6342344231956,"'Mem Worker k3s '"
"208",13.6341863047502,"'Mem Worker k3s '"
"209",13.6341093152375,"'Mem Worker k3s '"
"210",13.6343210363973,"'Mem Worker k3s '"
"211",13.6328271437384,"'Mem Worker k3s '"
"212",13.6382250462677,"'Mem Worker k3s '"
"213",13.6468039481801,"'Mem Worker k3s '"
"214",13.650822948797,"'Mem Worker k3s '"
"215",13.6469865515114,"'Mem Worker k3s '"
"216",13.6435168414559,"'Mem Worker k3s '"
"217",13.6319304133251,"'Mem Worker k3s '"
"218",13.6315161011721,"'Mem Worker k3s '"
"219",13.6242576187539,"'Mem Worker k3s '"
"220",13.6149268352869,"'Mem Worker k3s '"
"221",13.6077362122147,"'Mem Worker k3s '"
"222",13.5935089450956,"'Mem Worker k3s '"
"223",13.5874561381863,"'Mem Worker k3s '"
"224",13.574115484269,"'Mem Worker k3s '"
"225",13.5700478716841,"'Mem Worker k3s '"
"226",13.5691123997532,"'Mem Worker k3s '"
"227",13.5707893892659,"'Mem Worker k3s '"
"228",13.5682445404072,"'Mem Worker k3s '"
"229",13.5762936458976,"'Mem Worker k3s '"
"230",13.5816533004318,"'Mem Worker k3s '"
"231",13.589411967921,"'Mem Worker k3s '"
"232",13.5904917951882,"'Mem Worker k3s '"
"233",13.5823180752622,"'Mem Worker k3s '"
"234",13.5700952498458,"'Mem Worker k3s '"
"235",13.5678595928439,"'Mem Worker k3s '"
"236",13.5684187538556,"'Mem Worker k3s '"
"237",13.5789058605799,"'Mem Worker k3s '"
"238",13.5918030845157,"'Mem Worker k3s '"
"239",13.607803331277,"'Mem Worker k3s '"
"240",13.6157364589759,"'Mem Worker k3s '"
"241",10.8,"'Disk Controller k3s '"
"242",9.4,"'Disk Controller k3s '"
"243",9.4,"'Disk Controller k3s '"
"244",10.2,"'Disk Controller k3s '"
"245",10,"'Disk Controller k3s '"
"246",9.4,"'Disk Controller k3s '"
"247",13.2,"'Disk Controller k3s '"
"248",10.2,"'Disk Controller k3s '"
"249",9.6,"'Disk Controller k3s '"
"250",9.4,"'Disk Controller k3s '"
"251",10.2,"'Disk Controller k3s '"
"252",10,"'Disk Controller k3s '"
"253",9.8,"'Disk Controller k3s '"
"254",10.8,"'Disk Controller k3s '"
"255",11.4,"'Disk Controller k3s '"
"256",9.6,"'Disk Controller k3s '"
"257",12.8,"'Disk Controller k3s '"
"258",10.6,"'Disk Controller k3s '"
"259",10.2,"'Disk Controller k3s '"
"260",10.8,"'Disk Controller k3s '"
"261",10.6,"'Disk Controller k3s '"
"262",10.8,"'Disk Controller k3s '"
"263",9.6,"'Disk Controller k3s '"
"264",10,"'Disk Controller k3s '"
"265",9.4,"'Disk Controller k3s '"
"266",11,"'Disk Controller k3s '"
"267",14,"'Disk Controller k3s '"
"268",10.8,"'Disk Controller k3s '"
"269",9.6,"'Disk Controller k3s '"
"270",10,"'Disk Controller k3s '"
"271",11.6,"'Disk Controller k3s '"
"272",9.8,"'Disk Controller k3s '"
"273",10,"'Disk Controller k3s '"
"274",9.8,"'Disk Controller k3s '"
"275",10.4,"'Disk Controller k3s '"
"276",12.4,"'Disk Controller k3s '"
"277",11.2,"'Disk Controller k3s '"
"278",10,"'Disk Controller k3s '"
"279",9.8,"'Disk Controller k3s '"
"280",10,"'Disk Controller k3s '"
"281",11,"'Disk Controller k3s '"
"282",10.4,"'Disk Controller k3s '"
"283",10.2,"'Disk Controller k3s '"
"284",9.8,"'Disk Controller k3s '"
"285",10.6,"'Disk Controller k3s '"
"286",12.6,"'Disk Controller k3s '"
"287",9.4,"'Disk Controller k3s '"
"288",11,"'Disk Controller k3s '"
"289",11,"'Disk Controller k3s '"
"290",11.6,"'Disk Controller k3s '"
"291",10.4,"'Disk Controller k3s '"
"292",10.2,"'Disk Controller k3s '"
"293",9.6,"'Disk Controller k3s '"
"294",10.2,"'Disk Controller k3s '"
"295",10.6,"'Disk Controller k3s '"
"296",13.6,"'Disk Controller k3s '"
"297",9.6,"'Disk Controller k3s '"
"298",9.8,"'Disk Controller k3s '"
"299",10.6,"'Disk Controller k3s '"
"300",9.2,"'Disk Controller k3s '"
"301",0.2,"'Disk Worker k3s '"
"302",0.2,"'Disk Worker k3s '"
"303",0,"'Disk Worker k3s '"
"304",0.2,"'Disk Worker k3s '"
"305",0.2,"'Disk Worker k3s '"
"306",0,"'Disk Worker k3s '"
"307",0,"'Disk Worker k3s '"
